=== logs/jtagtunnel_ila_xsdb_raw_20260325_125007/jtagtunnel_ila.csv ===
header: ['inst_jtag_tunnel/_inst_jtag_tunnel_jtag_tck', 'u_ila_jtag__bscane2_SHIFT', '_inst_jtag_tunnel_jtag_tdi', 'inst_jtag_tunnel/_inst_jtag_tunnel_jtag_tms', 'inst_jtag_tunnel/_system_debug_systemjtag_jtag_TDO_data', 'inst_jtag_tunnel/tdiRegister_reg_n_0', 'inst_jtag_tunnel/shiftCounter[6:0]', 'inst_jtag_tunnel/posCounter_reg[7:0]', 'inst_jtag_tunnel/negCounter_reg[7:0]']
rows: 4096
event_count: 566
2060 ['0', '1', '0', '0', '1', '0', '00', '00', '00']
2061 ['0', '1', '0', '0', '1', '1', '00', '01', '00']
2063 ['0', '1', '0', '0', '1', '1', '00', '01', '01']
2081 ['0', '1', '0', '0', '1', '1', '00', '02', '01']
2083 ['0', '1', '0', '0', '1', '1', '00', '02', '02']
2085 ['0', '1', '0', '0', '1', '1', '00', '03', '02']
2086 ['0', '1', '0', '0', '1', '1', '00', '03', '03']
2088 ['0', '1', '0', '0', '1', '1', '00', '04', '03']
2090 ['0', '1', '0', '1', '1', '1', '00', '04', '04']
2091 ['0', '1', '0', '1', '1', '1', '00', '05', '04']
2093 ['0', '1', '0', '1', '1', '1', '00', '05', '05']
2095 ['0', '1', '0', '1', '1', '1', '00', '06', '05']
2096 ['0', '1', '0', '0', '1', '1', '00', '06', '06']
2098 ['0', '1', '0', '0', '1', '1', '00', '07', '06']
2100 ['0', '1', '0', '1', '1', '1', '00', '07', '07']
2101 ['0', '1', '0', '1', '1', '1', '00', '08', '07']
2103 ['0', '1', '1', '1', '1', '1', '00', '08', '08']
2105 ['0', '1', '1', '1', '1', '1', '00', '09', '08']
2106 ['0', '1', '1', '0', '1', '1', '00', '09', '09']
2110 ['0', '1', '1', '0', '1', '1', '00', '0a', '09']
2111 ['0', '1', '0', '0', '1', '1', '00', '0a', '0a']
2113 ['0', '1', '0', '0', '1', '1', '00', '0b', '0a']
2115 ['0', '1', '0', '0', '1', '1', '00', '0b', '0b']
2116 ['0', '1', '0', '0', '1', '1', '00', '0c', '0b']
2118 ['0', '1', '0', '0', '1', '1', '00', '0c', '0c']
2120 ['0', '1', '0', '0', '1', '1', '00', '0d', '0c']
2121 ['0', '1', '0', '0', '1', '1', '00', '0d', '0d']
2123 ['0', '1', '0', '0', '1', '1', '00', '0e', '0d']
2125 ['0', '1', '0', '0', '1', '1', '00', '0e', '0e']
2126 ['0', '1', '0', '0', '1', '1', '00', '0f', '0e']
2128 ['0', '1', '0', '0', '1', '1', '00', '0f', '0f']
2130 ['0', '1', '0', '0', '1', '1', '00', '10', '0f']
2131 ['0', '1', '0', '0', '1', '1', '00', '10', '10']
2133 ['0', '1', '0', '0', '1', '1', '00', '11', '10']
2135 ['0', '1', '0', '0', '1', '1', '00', '11', '11']
2138 ['0', '1', '0', '0', '1', '1', '00', '12', '11']
2140 ['0', '1', '0', '0', '1', '1', '00', '12', '12']
2141 ['0', '1', '0', '0', '1', '1', '00', '13', '12']
2143 ['0', '1', '0', '0', '1', '1', '00', '13', '13']
2145 ['0', '1', '0', '0', '1', '1', '00', '14', '13']
2146 ['0', '1', '0', '0', '1', '1', '00', '14', '14']
2148 ['0', '1', '0', '0', '1', '1', '00', '15', '14']
2150 ['0', '1', '1', '0', '1', '1', '00', '15', '15']
2151 ['0', '1', '1', '0', '1', '1', '00', '16', '15']
2153 ['0', '1', '0', '0', '1', '1', '00', '16', '16']
2155 ['0', '1', '0', '0', '1', '1', '00', '17', '16']
2156 ['0', '1', '0', '0', '1', '1', '00', '17', '17']
2158 ['0', '1', '0', '0', '1', '1', '00', '18', '17']
2160 ['0', '1', '1', '0', '1', '1', '00', '18', '18']
2161 ['0', '1', '1', '0', '1', '1', '00', '19', '18']
2163 ['0', '1', '1', '0', '1', '1', '00', '19', '19']
2175 ['0', '1', '0', '0', '1', '1', '00', '19', '19']
2176 ['0', '1', '0', '0', '1', '1', '00', '1a', '19']
2178 ['0', '1', '0', '0', '1', '1', '00', '1a', '1a']
2180 ['0', '1', '0', '0', '1', '1', '00', '1b', '1a']
2181 ['0', '1', '1', '0', '1', '1', '00', '1b', '1b']
2183 ['0', '1', '1', '0', '1', '1', '00', '1c', '1b']
2185 ['0', '1', '0', '0', '1', '1', '00', '1c', '1c']
2186 ['0', '1', '0', '0', '1', '1', '00', '1d', '1c']
2188 ['0', '1', '0', '0', '1', '1', '00', '1d', '1d']
2190 ['0', '1', '0', '0', '1', '1', '00', '1e', '1d']
2191 ['0', '1', '0', '0', '1', '1', '00', '1e', '1e']
2193 ['0', '1', '0', '0', '1', '1', '00', '1f', '1e']
2195 ['0', '1', '0', '0', '1', '1', '00', '1f', '1f']
2196 ['0', '1', '0', '0', '1', '1', '00', '20', '1f']
2198 ['0', '1', '0', '0', '1', '1', '00', '20', '20']
2211 ['0', '1', '0', '0', '1', '1', '00', '21', '20']
2213 ['0', '0', '0', '0', '1', '1', '00', '21', '21']
2215 ['0', '0', '0', '0', '1', '0', '00', '00', '21']
